Schlüssel WZ 2008,Beschreibung
46183,Handelsvermittlung von Spielwaren und Musikinstrumenten
46184,"Handelsvermittlung von pharmazeutischen Erzeugnissen, medizinischen und orthopädischen Artikeln und Laborbedarf, Ärztebedarf, Dentalbedarf, zahnärztlichen Instrumenten, Krankenhaus- und Altenpflegebedarf"
46185,Handelsvermittlung von kosmetischen Erzeugnissen und Körperpflegemitteln
46186,"Handelsvermittlung von Karton, Papier und Pappe, Schreibwaren, Bürobedarf, Geschenk- und Werbeartikeln, Verpackungsmitteln und Tapeten"
46187,"Handelsvermittlung von Büchern, Zeitschriften, Zeitungen, Musikalien und sonstigen Druckerzeugnissen"
46189,Handelsvermittlung von sonstigen Waren a. n. g.
46190,Handelsvermittlung von Waren ohne ausgeprägten Schwerpunkt
46210,"Großhandel mit Getreide, Rohtabak, Saatgut und Futtermitteln"
46220,Großhandel mit Blumen und Pflanzen
46230,Großhandel mit lebenden Tieren
46240,"Großhandel mit Häuten, Fellen und Leder"
46310,"Großhandel mit Obst, Gemüse und Kartoffeln"
46320,Großhandel mit Fleisch und Fleischwaren
46330,"Großhandel mit Milch, Milcherzeugnissen, Eiern, Speiseölen und Nahrungsfetten"
46340,Großhandel mit Getränken
46350,Großhandel mit Tabakwaren
46360,"Großhandel mit Zucker, Süßwaren und Backwaren"
46370,"Großhandel mit Kaffee, Tee, Kakao und Gewürzen"
46381,Großhandel mit Fisch und Fischerzeugnissen
46382,Großhandel mit Mehl und Getreideprodukten
46389,Großhandel mit Nahrungs- und Genussmitteln a. n. g.
46391,"Großhandel mit tiefgefrorenen Nahrungsmitteln, ohne ausgeprägten Schwerpunkt"
46399,"Großhandel mit sonstigen Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt"
46410,Großhandel mit Textilien
46421,Großhandel mit Bekleidung
46422,Großhandel mit Schuhen
46431,Großhandel mit Foto- und optischen Erzeugnissen
46432,Großhandel mit elektrischen Haushaltsgeräten
46433,Großhandel mit Geräten der Unterhaltungselektronik
46441,Großhandel mit keramischen Erzeugnissen und Glaswaren
46442,"Großhandel mit Wasch-, Putz- und Reinigungsmitteln"
46450,Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln
46461,Großhandel mit pharmazeutischen Erzeugnissen
46462,"Großhandel mit medizinischen und orthopädischen Artikeln, Dental- und Laborbedarf"
46470,"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten"
46480,Großhandel mit Uhren und Schmuck
46491,Großhandel mit Spielwaren und Musikinstrumenten
46492,"Großhandel mit Fahrrädern, Fahrradteilen und -zubehör, Sport- und Campingartikeln (ohne Campingmöbel)"
46493,"Großhandel mit Lederwaren, Reisegepäck, Geschenk- und Werbeartikeln"
46494,"Großhandel mit Karton, Papier, Pappe, Schreibwaren, Bürobedarf, Büchern, Zeitschriften und Zeitungen"
46495,"Großhandel mit nicht elektrischen Haushaltsgeräten, Haushaltswaren aus Metall sowie sonstigen Gebrauchs- und Verbrauchsgütern a. n. g."
46510,"Großhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
46520,Großhandel mit elektronischen Bauteilen und Telekommunikationsgeräten
46610,Großhandel mit landwirtschaftlichen Maschinen und Geräten
46620,Großhandel mit Werkzeugmaschinen
46630,"Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen"
46640,"Großhandel mit Textil-, Näh- und Strickmaschinen"
46650,Großhandel mit Büromöbeln
46660,Großhandel mit sonstigen Büromaschinen und -einrichtungen
46691,Großhandel mit Flurförderzeugen und Fahrzeugen a. n. g.
46692,Großhandel mit sonstigen Maschinen
46693,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie mit technischem Bedarf
46711,Großhandel mit festen Brennstoffen
46712,Großhandel mit Mineralölerzeugnissen
46721,"Großhandel mit Eisenerzen, Eisen, Stahl, Eisen- und Stahlhalbzeug"
46722,"Großhandel mit NE-Erzen, NE-Metallen und NE-Metallhalbzeug"
46730,"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik"
46731,"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärkeramik, ohne ausgeprägten Schwerpunkt"
46732,Großhandel mit Roh- und Schnittholz
46733,Großhandel mit sonstigen Holzhalbwaren sowie Bauelementen aus Holz
46734,Großhandel mit Baustoffen und Bauelementen aus mineralischen Stoffen
46735,Großhandel mit Flachglas
46736,Großhandel mit Anstrichmitteln
46737,Großhandel mit Sanitärkeramik
46738,Großhandel mit Tapeten und Bodenbelägen (ohne Teppiche)
46741,Großhandel mit Werkzeugen und Kleineisenwaren
46742,"Großhandel mit Installationsbedarf für Gas, Wasser und Heizung"
46743,Großhandel mit Metall- und Kunststoffwaren für Bauzwecke
46750,Großhandel mit chemischen Erzeugnissen
46760,Großhandel mit sonstigen Halbwaren
46770,Großhandel mit Altmaterialien und Reststoffen
46901,"Großhandel mit Rohstoffen, Halb- und Fertigwaren, ohne ausgeprägten Schwerpunkt"
46902,"Großhandel mit Rohstoffen und Halbwaren, ohne ausgeprägten Schwerpunkt"
46903,"Großhandel mit Fertigwaren, ohne ausgeprägten Schwerpunkt"
47111,"Einzelhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt"
47112,"Sonstiger Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nahrungs- und Genussmittel, Getränke und Tabakwaren"
47191,Einzelhandel mit Waren verschiedener Art (ohne Nahrungsmittel)
47192,"Einzelhandel mit Waren verschiedener Art, Hauptrichtung Nicht-Nahrungsmittel"
47210,"Einzelhandel mit Obst, Gemüse und Kartoffeln"
47220,Einzelhandel mit Fleisch und Fleischwaren
47230,"Einzelhandel mit Fisch, Meeresfrüchten und Fischerzeugnissen"
47240,Einzelhandel mit Back- und Süßwaren
47250,Einzelhandel mit Getränken
47260,Einzelhandel mit Tabakwaren
47290,Sonstiger Einzelhandel mit Nahrungs- und Genussmitteln
47301,Einzelhandel in fremdem Namen mit Motorenkraftstoffen (Agenturtankstellen)
47302,Einzelhandel in eigenem Namen mit Motorenkraftstoffen (Freie Tankstellen)
47410,"Einzelhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software"
47420,Einzelhandel mit Telekommunikationsgeräten
47430,Einzelhandel mit Geräten der Unterhaltungselektronik
47510,Einzelhandel mit Textilien
47521,Einzelhandel mit Metall- und Kunststoffwaren a. n. g.
47523,"Einzelhandel mit Anstrichmitteln, Bau- und Heimwerkerbedarf"
47530,"Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten"
47540,Einzelhandel mit elektrischen Haushaltsgeräten
47591,Einzelhandel mit Wohnmöbeln
47592,Einzelhandel mit keramischen Erzeugnissen und Glaswaren
47593,Einzelhandel mit Musikinstrumenten und Musikalien
47599,Einzelhandel mit Haushaltsgegenständen a. n. g.
47610,Einzelhandel mit Büchern
47621,Einzelhandel mit Zeitschriften und  Zeitungen
47622,"Einzelhandel mit Schreib- und Papierwaren, Schul- und Büroartikeln"
47630,Einzelhandel mit bespielten Ton- und Bildträgern
47641,"Einzelhandel mit Fahrrädern, Fahrradteilen und -zubehör"
47642,Einzelhandel mit Sport- und Campingartikeln (ohne Campingmöbel)
47650,Einzelhandel mit Spielwaren
47710,Einzelhandel mit Bekleidung
47721,Einzelhandel mit Schuhen
47722,Einzelhandel mit Lederwaren und Reisegepäck
47730,Apotheken
47740,Einzelhandel mit medizinischen und orthopädischen Artikeln
47750,Einzelhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln
47761,"Einzelhandel mit Blumen, Pflanzen, Sämereien und Düngemitteln"
47762,Einzelhandel mit zoologischem Bedarf und lebenden Tieren
47770,Einzelhandel mit Uhren und Schmuck
47781,Augenoptiker
47782,Einzelhandel mit Foto- und optischen Erzeugnissen (ohne Augenoptiker)
47783,"Einzelhandel mit Kunstgegenständen, Bildern, kunstgewerblichen Erzeugnissen, Briefmarken, Münzen und Geschenkartikeln"
47789,Sonstiger Einzelhandel a. n. g. (in Verkaufsräumen)
47791,Einzelhandel mit Antiquitäten und antiken Teppichen
47792,Antiquariate
47799,Einzelhandel mit sonstigen Gebrauchtwaren
47810,"Einzelhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren an Verkaufsständen und auf Märkten"
47820,"Einzelhandel mit Textilien, Bekleidung und Schuhen an Verkaufsständen und auf Märkten"
47890,Einzelhandel mit sonstigen Gütern an Verkaufsständen und auf Märkten
47911,"Versand- und Internet-Einzelhandel mit Textilien, Bekleidung, Schuhen und Lederwaren"
47919,Sonstiger Versand- und Internet-Einzelhandel
47991,Einzelhandel vom Lager mit Brennstoffen
47999,Sonstiger Einzelhandel a. n. g. (nicht in Verkaufsräumen)
49100,Personenbeförderung im Eisenbahnfernverkehr
49200,Güterbeförderung im Eisenbahnverkehr
49310,Personenbeförderung im Nahverkehr zu Lande (ohne Taxis)
49320,Betrieb von Taxis
49391,Personenbeförderung im Omnibus-Linienfernverkehr
49392,Personenbeförderung im Omnibus-Gelegenheitsverkehr
49399,Personenbeförderung im Landverkehr a. n. g.
49410,Güterbeförderung im Straßenverkehr
49420,Umzugstransporte
49500,Transport in Rohrfernleitungen
50100,Personenbeförderung in der See- und Küstenschifffahrt
50200,Güterbeförderung in der See- und Küstenschifffahrt
50300,Personenbeförderung in der Binnenschifffahrt
50400,Güterbeförderung in der Binnenschifffahrt
51100,Personenbeförderung in der Luftfahrt
51210,Güterbeförderung in der Luftfahrt
51220,Raumtransport
52100,Lagerei
52211,Betrieb von Parkhäusern und Parkplätzen
52212,Betrieb von Verkehrswegen für Straßenfahrzeuge
52213,Betrieb von Verkehrswegen für Schienenfahrzeuge
52214,Betrieb von Bahnhöfen für den Personenverkehr einschließlich Omnibusbahnhöfe
52215,Betrieb von Güterabfertigungseinrichtungen für Schienen- und Straßenfahrzeuge (ohne Frachtumschlag)
52219,Erbringung von sonstigen Dienstleistungen für den Landverkehr a. n. g.
52221,Betrieb von Wasserstraßen
52222,Betrieb von Häfen
52223,Lotsinnen und Lotsen in der Schifffahrt
52229,Erbringung von sonstigen Dienstleistungen für die Schifffahrt a. n. g.
52231,Betrieb von Flughäfen und Landeplätzen für Luftfahrzeuge
52239,Erbringung von sonstigen Dienstleistungen für die Luftfahrt a. n. g.
52240,Frachtumschlag
52291,Spedition
52292,Schiffsmaklerbüros und -agenturen
52299,Erbringung von Dienstleistungen für den Verkehr a. n. g.
53100,Postdienste von Universaldienstleistungsanbietern
53200,"Sonstige Post-, Kurier- und Expressdienste"
55101,Hotels (ohne Hotels garnis)
55102,Hotels garnis
55103,Gasthöfe
55104,Pensionen
55201,Erholungs- und Ferienheime
55202,Ferienzentren
55203,Ferienhäuser und Ferienwohnungen
55204,Jugendherbergen und Hütten
55300,Campingplätze
55901,Privatquartiere
55909,Sonstige Beherbergungsstätten a. n. g.
56101,Restaurants mit herkömmlicher Bedienung
56102,Restaurants mit Selbstbedienung
56103,Imbissstuben u. Ä.
56104,Cafés
56105,Eissalons
56210,Event-Caterer
56290,Erbringung sonstiger Verpflegungsdienstleistungen
56301,Schankwirtschaften
56302,Diskotheken und Tanzlokale
56303,Bars
56304,Vergnügungslokale
56309,Sonstige getränkegeprägte Gastronomie
58110,Verlegen von Büchern
58120,Verlegen von Adressbüchern und Verzeichnissen
58130,Verlegen von Zeitungen
58140,Verlegen von Zeitschriften
58190,Sonstiges Verlagswesen (ohne Software)
58210,Verlegen von Computerspielen
58290,Verlegen von sonstiger Software
59110,"Herstellung von Filmen, Videofilmen und Fernsehprogrammen"
59120,Nachbearbeitung und sonstige Filmtechnik
59130,Filmverleih und -vertrieb (ohne Videotheken)
59140,Kinos
59201,Tonstudios und Herstellung von Hörfunkbeiträgen
59202,Verlegen von bespielten Tonträgern
59203,Verlegen von Musikalien
60100,Hörfunkveranstalter
60200,Fernsehveranstalter
61100,Leitungsgebundene Telekommunikation
61200,Drahtlose Telekommunikation
61300,Satellitentelekommunikation
61901,Internetserviceprovider
61909,Sonstige Telekommunikation a. n. g.
62011,Entwicklung und Programmierung von Internetpräsentationen
62019,Sonstige Softwareentwicklung
62020,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie
62030,Betrieb von Datenverarbeitungseinrichtungen für Dritte
62090,Erbringung von sonstigen Dienstleistungen der Informationstechnologie
63110,"Datenverarbeitung, Hosting und damit verbundene Tätigkeiten"
63120,Webportale
63910,Korrespondenz- und Nachrichtenbüros
63990,Erbringung von sonstigen Informationsdienstleistungen a. n. g.
64110,Zentralbanken
64191,Kreditbanken einschließlich Zweigstellen ausländischer Banken
64192,Kreditinstitute des Sparkassensektors
64193,Kreditinstitute des Genossenschaftssektors
64194,Realkreditinstitute
64195,Kreditinstitute mit Sonderaufgaben
64196,Bausparkassen
64200,Beteiligungsgesellschaften
64300,Treuhand- und sonstige Fonds und ähnliche Finanzinstitutionen
64910,Institutionen für Finanzierungsleasing
64921,Spezialkreditinstitute (ohne Pfandkreditgeschäfte)
64922,Leihhäuser
64991,Investmentaktiengesellschaften und Fonds von Kapitalanlagegesellschaften (ohne Geldmarktfonds)
64999,Sonstige Finanzierungsinstitutionen a. n. g.
65110,Lebensversicherungen
65121,Krankenversicherungen
65122,Schaden- und Unfallversicherungen
65200,Rückversicherungen
65300,Pensionskassen und Pensionsfonds
66110,Effekten- und Warenbörsen
66120,Effekten- und Warenhandel
66190,Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten
66210,Risiko- und Schadensbewertung
66220,Tätigkeit von Versicherungsmaklerinnen und -maklern
66290,Sonstige mit Versicherungsdienstleistungen und Pensionskassen verbundene Tätigkeiten
66300,Fondsmanagement
68101,"Kauf und Verkauf von eigenen Wohngrundstücken, Wohngebäuden und Wohnungen"
68102,Kauf und Verkauf von eigenen Gewerbegrundstücken und Nichtwohngebäuden
68201,"Vermietung, Verpachtung von eigenen oder geleasten Wohngrundstücken, Wohngebäuden und Wohnungen"
68202,"Vermietung, Verpachtung von eigenen oder geleasten Gewerbegrundstücken und Nichtwohngebäuden"
68311,"Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
68312,Vermittlung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
68320,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte"
68321,"Verwaltung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte"
68322,Verwaltung von Gewerbegrundstücken und Nichtwohngebäuden für Dritte
69101,Rechtsanwaltskanzleien mit Notariat
69102,Rechtsanwaltskanzleien ohne Notariat
69103,Notariate
69104,Patentanwaltskanzleien
69109,Erbringung sonstiger juristischer Dienstleistungen a. n. g.
69201,"Praxen von Wirtschaftsprüferinnen und -prüfern, Wirtschaftsprüfungsgesellschaften"
69202,"Praxen von vereidigten Buchprüferinnen und -prüfern, Buchprüfungsgesellschaften"
69203,"Praxen von Steuerbevollmächtigten, Steuerberaterinnen und -beratern, Steuerberatungsgesellschaften"
69204,Buchführung (ohne Datenverarbeitungsdienste)
70101,Managementtätigkeiten von Holdinggesellschaften
70109,Sonstige Verwaltung und Führung von Unternehmen und Betrieben
70210,Public-Relations-Beratung
70220,Unternehmensberatung
71111,Architekturbüros für Hochbau
71112,Büros für Innenarchitektur
71113,"Architekturbüros für Orts-, Regional- und Landesplanung"
71114,Architekturbüros für Garten- und Landschaftsgestaltung
71121,Ingenieurbüros für bautechnische Gesamtplanung
71122,Ingenieurbüros für technische Fachplanung und Ingenieurdesign
71123,Vermessungsbüros
71129,Sonstige Ingenieurbüros
71200,"Technische, physikalische und chemische Untersuchung"
72110,Forschung und Entwicklung im Bereich Biotechnologie
72190,"Sonstige Forschung und Entwicklung im Bereich Natur-, Ingenieur-, Agrarwissenschaften und Medizin"
72200,"Forschung und Entwicklung im Bereich Rechts-, Wirtschafts- und Sozialwissenschaften sowie im Bereich Sprach-, Kultur- und Kunstwissenschaften"
73110,Werbeagenturen
73120,Vermarktung und Vermittlung von Werbezeiten und Werbeflächen
73200,Markt- und Meinungsforschung
74101,"Industrie-, Produkt- und Mode-Design"
74102,Grafik- und Kommunikationsdesign
74103,Interior Design und Raumgestaltung
74201,Fotografie
74202,Fotolabors
74301,Übersetzen
74302,Dolmetschen
74900,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g."
75001,Tierarztpraxen
75009,Sonstiges Veterinärwesen
77110,"Vermietung von Kraftwagen mit einem Gesamtgewicht von 3,5 t oder weniger"
77120,"Vermietung von Kraftwagen mit einem Gesamtgewicht von mehr als 3,5 t"
77210,Vermietung von Sport- und Freizeitgeräten
77220,Videotheken
77290,Vermietung von sonstigen Gebrauchsgütern
77310,Vermietung von landwirtschaftlichen Maschinen und Geräten
77320,Vermietung von Baumaschinen und -geräten
77330,"Vermietung von Büromaschinen, Datenverarbeitungsgeräten und -einrichtungen"
77340,Vermietung von Wasserfahrzeugen
77350,Vermietung von Luftfahrzeugen
77390,"Vermietung von sonstigen Maschinen, Geräten und beweglichen Sachen a. n. g."
77400,Leasing von nichtfinanziellen immateriellen Vermögensgegenständen (ohne Copyrights)
78100,Vermittlung von Arbeitskräften
78200,Befristete Überlassung von Arbeitskräften
78300,Sonstige Überlassung von Arbeitskräften
79110,Reisebüros
79120,Reiseveranstalter
79900,Erbringung sonstiger Reservierungsdienstleistungen
80100,Private Wach- und Sicherheitsdienste
80200,Sicherheitsdienste mithilfe von Überwachungs- und Alarmsystemen
80300,Detekteien
81100,Hausmeisterdienste
81210,Allgemeine Gebäudereinigung
81221,Schornsteinreinigung
81229,Sonstige spezielle Reinigung von Gebäuden und Maschinen
81291,Reinigung von Verkehrsmitteln
81292,Desinfektion und Schädlingsbekämpfung
81299,Sonstige Reinigung a. n. g.
81301,Garten- und Landschaftsbau
81309,Erbringung von sonstigen gärtnerischen Dienstleistungen
82110,Allgemeine Sekretariats- und Schreibdienste
82190,Copy-Shops; Dokumentenvorbereitung und Erbringung sonstiger spezieller Sekretariatsdienste
82200,Call Center
82300,"Messe-, Ausstellungs- und Kongressveranstalter"
82911,Inkassobüros
82912,Auskunfteien
82920,Abfüllen und Verpacken
82991,Versteigerungsgewerbe
82999,Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.
84110,Allgemeine öffentliche Verwaltung
84120,"Öffentliche Verwaltung auf den Gebieten Gesundheitswesen, Bildung, Kultur und Sozialwesen"
84130,"Wirtschaftsförderung, -ordnung und -aufsicht"
84210,Auswärtige Angelegenheiten
84220,Verteidigung
84230,Rechtspflege
84240,Öffentliche Sicherheit und Ordnung
84250,Feuerwehren
84300,Sozialversicherung
85101,Kindergärten
85102,"Vorklassen, Schulkindergärten"
85200,Grundschulen
85311,Allgemein bildende weiterführende Schulen Sekundarbereich I
85312,Allgemein bildende weiterführende Schulen Sekundarbereich II
85320,Berufsbildende weiterführende Schulen
85410,"Post-sekundärer, nicht tertiärer Unterricht"
85421,Universitäten
85422,Allgemeine Fachhochschulen
85423,Verwaltungsfachhochschulen
85424,"Berufsakademien, Fachakademien, Schulen des Gesundheitswesens"
85510,Sport- und Freizeitunterricht
85520,Kulturunterricht
85530,Fahr- und Flugschulen
85591,Allgemeine und politische Erwachsenenbildung
85592,Berufliche Erwachsenenbildung
85599,Unterricht a. n. g.
85600,Erbringung von Dienstleistungen für den Unterricht
86101,"Krankenhäuser (ohne Hochschulkliniken, Vorsorge- und Rehabilitationskliniken)"
86102,Hochschulkliniken
86103,Vorsorge- und Rehabilitationskliniken
86210,Arztpraxen für Allgemeinmedizin
86220,Facharztpraxen
86230,Zahnarztpraxen
86901,Praxen von psychologischen Psychotherapeutinnen und -therapeuten
86902,"Massagepraxen, Krankengymnastikpraxen, Praxen von medizinischen Bademeisterinnen und Bademeistern, Hebammen und Entbindungspflegern sowie von verwandten Berufen"
86903,Heilpraktikerpraxen
86909,Sonstige selbstständige Tätigkeiten im Gesundheitswesen
87100,Pflegeheime
87200,"Stationäre Einrichtungen zur psychosozialen Betreuung, Suchtbekämpfung u. Ä."
87300,Altenheime; Alten- und Behindertenwohnheime
87900,Sonstige Heime (ohne Erholungs- und Ferienheime)
88101,Ambulante soziale Dienste
88102,Sonstige soziale Betreuung älterer Menschen und Behinderter
88910,Tagesbetreuung von Kindern
88990,Sonstiges Sozialwesen a. n. g.
90011,Theaterensembles
90012,"Ballettgruppen, Orchester, Kapellen und Chöre"
90013,"Selbstständige Artistinnen und Artisten, Zirkusgruppen"
90014,"Selbstständige Bühnen-, Film-, Hörfunk- und Fernsehkünstlerinnen und -künstler sowie sonstige darstellende Kunst"
90020,Erbringung von Dienstleistungen für die darstellende Kunst
90031,"Selbstständige Komponistinnen, Komponisten, Musikbearbeiterinnen und Musikbearbeiter"
90032,Selbstständige Schriftstellerinnen und Schriftsteller
90033,Selbstständige bildende Künstlerinnen und Künstler
90034,Selbstständige Restauratorinnen und Restauratoren
90035,"Selbstständige Journalistinnen und Journalisten, Pressefotografinnen und Pressefotografen"
90041,Theater- und Konzertveranstalter
90042,"Opern- und Schauspielhäuser, Konzerthallen und ähnliche Einrichtungen"
90043,Varietés und Kleinkunstbühnen
91010,Bibliotheken und Archive
91020,Museen
91030,Betrieb von historischen Stätten und Gebäuden und ähnlichen Attraktionen
91040,Botanische und zoologische Gärten sowie Naturparks
92001,Spielhallen und Betrieb von Spielautomaten
92002,Spielbanken und Spielklubs
92003,"Wett-, Toto- und Lotteriewesen"
93110,Betrieb von Sportanlagen
93120,Sportvereine
93130,Fitnesszentren
93190,Erbringung von sonstigen Dienstleistungen des Sports
93210,Vergnügungs- und Themenparks
93290,Erbringung von Dienstleistungen der Unterhaltung und der Erholung a. n. g.
94110,Wirtschafts- und Arbeitgeberverbände
94120,Berufsorganisationen
94200,Arbeitnehmervereinigungen
94910,Kirchliche und sonstige religiöse Vereinigungen
94920,Politische Parteien und Vereinigungen
94991,"Organisationen der Bildung, Wissenschaft und Forschung"
94992,Organisationen der Kultur
94993,Verbraucherorganisationen
94994,Jugendorganisationen
94999,Interessenvertretungen und Vereinigungen a. n. g.
95110,Reparatur von Datenverarbeitungsgeräten und peripheren Geräten
95120,Reparatur von Telekommunikationsgeräten
95210,Reparatur von Geräten der Unterhaltungselektronik
95220,Reparatur von elektrischen Haushaltsgeräten und Gartengeräten
95230,Reparatur von Schuhen und Lederwaren
95240,Reparatur von Möbeln und Einrichtungsgegenständen
95250,Reparatur von Uhren und Schmuck
95290,Reparatur von sonstigen Gebrauchsgütern
96010,Wäscherei und chemische Reinigung
96021,Frisörsalons
96022,Kosmetiksalons
96031,Bestattungsinstitute
96032,Friedhöfe und Krematorien
96040,"Saunas, Solarien, Bäder u. Ä."
96090,Erbringung von sonstigen Dienstleistungen a. n. g.
97000,Private Haushalte mit Hauspersonal
98100,Herstellung von Waren durch private Haushalte für den Eigenbedarf ohne ausgeprägten Schwerpunkt
98200,Erbringungen von Dienstleistungen durch private Haushalte für den Eigenbedarf ohne ausgeprägten Schwerpunkt
99000,Exterritoriale Organisationen und Körperschaften
